"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25255","Negative Test - Multiple Duplicate Fields (Organization + Email + Phone)","chromium","2026-03-26","passed","2026-03-26","Vendor Creation - Negative Test Cases","createvendor.negative.spec.js","",""
"","4","Invalid username with valid password","chromium","2026-03-23","failed","2026-03-23","","login1.spec.js","",""
"","2","Valid username with empty password","chromium","2026-03-23","failed","2026-03-23","","login1.spec.js","",""
"","1","Verify initial vendor exists for duplicate tests","chromium","2026-03-26","broken","2026-03-26","Vendor Creation - Negative Test Cases","createvendor.negative.spec.js","",""
"","33149","Receipt_creation_po","chromium","2026-03-26","broken","2026-03-26","","projectt.spec.js","",""
"","1250","My third test page","chromium","2026-03-26","failed","2026-03-26","","sample.spec.js","",""
"","4","Empty username with valid password","chromium","2026-03-23","failed","2026-03-23","","login1.spec.js","",""
"","27613","Raise Invoice","chromium","2026-03-26","failed","2026-03-26","","purchaseorder.spec.js","",""
"","21","Valid username with invalid password","chromium","2026-03-23","failed","2026-03-23","","login1.spec.js","",""
"","5929","test","chromium","2026-03-17","passed","2026-03-17","","codegen.spec.js","",""
"","40480","Verify the vendor creation functionality","chromium","2026-03-26","passed","2026-03-26","","createvendor.spec.js","",""
"","0","Empty username with valid password","chromium","2026-03-26","skipped","2026-03-26","Login Test Cases","login1.spec.js","",""
"","2","Empty username and empty password","chromium","2026-03-23","failed","2026-03-23","","login1.spec.js","",""
"","19442","Valid Login using the page objects","chromium","2026-03-23","passed","2026-03-23","","login1.spec.js","",""
"","12247","test","chromium","2026-03-26","passed","2026-03-26","","test-1.spec.ts","",""
"","0","Empty username and empty password","chromium","2026-03-26","skipped","2026-03-26","Login Test Cases","login1.spec.js","",""
"","0","Negative Test - Duplicate Organization Name","chromium","2026-03-26","skipped","2026-03-26","Vendor Creation - Negative Test Cases","createvendor.negative.spec.js","",""
"","1","Valid username with empty password","chromium","2026-03-26","skipped","2026-03-26","Login Test Cases","login1.spec.js","",""
"","1353","My first test page","chromium","2026-03-26","passed","2026-03-26","","sample.spec.js","",""
"","796","verify the dropdwon","chromium","2026-03-26","failed","2026-03-26","","dropdown.spec.js","",""
"","23449","Valid Login using the page objects","chromium","2026-03-26","failed","2026-03-26","","createvendor.spec.js","",""
"","7","Invalid username and invalid password","chromium","2026-03-23","failed","2026-03-23","","login1.spec.js","",""
"","19395","Invalid username with valid password","chromium","2026-03-26","failed","2026-03-26","Login Test Cases","login1.spec.js","",""
"","1259","My second test page","chromium","2026-03-26","failed","2026-03-26","","sample.spec.js","",""
"","9692","verify the application","chromium","2026-03-26","passed","2026-03-26","","google.spec.js","",""
"","1","Valid username with invalid password","chromium","2026-03-26","skipped","2026-03-26","Login Test Cases","login1.spec.js","",""
"","19007","Valid Login","chromium","2026-03-26","passed","2026-03-26","","login.spec.js","",""
"","1","Negative Test - Duplicate Email Address","chromium","2026-03-26","skipped","2026-03-26","Vendor Creation - Negative Test Cases","createvendor.negative.spec.js","",""
"","1","Negative Test - Empty Organization Name","chromium","2026-03-26","skipped","2026-03-26","Vendor Creation - Negative Test Cases","createvendor.negative.spec.js","",""
"","1","Negative Test - Invalid Email Format","chromium","2026-03-26","skipped","2026-03-26","Vendor Creation - Negative Test Cases","createvendor.negative.spec.js","",""
"","11687","Valid Login using the page objects","chromium","2026-03-26","passed","2026-03-26","Login Test Cases","login1.spec.js","",""
"","29593","Create initial vendor for duplicate tests","chromium","2026-03-26","passed","2026-03-26","Vendor Creation - Negative Test Cases","createvendor.negative.spec.js","",""
"","0","Invalid username and invalid password","chromium","2026-03-26","skipped","2026-03-26","Login Test Cases","login1.spec.js","",""
"","1","Negative Test - Duplicate Contact Phone Number","chromium","2026-03-26","skipped","2026-03-26","Vendor Creation - Negative Test Cases","createvendor.negative.spec.js","",""
